name,price,sale_area,judge,
【预售】波司登2017新款冬季短款时尚短款潮轻薄羽绒服女B1701522,239,1645,评价: 562,562.00 
BSD波司登女士甜美通勤貉子毛中长款羽绒服B1501150,679,1260,评价: 561,561.00 
波司登字母图案O型女短款欧美街头茧型羽绒服潮B1601038,398,1568,评价: 558,558.00 
波司登貉子大毛领修身腰带女士羽绒服yrf女 外套反季清仓B1401148,349,2341,评价: 554,554.00 
【预售】波司登2017新款鹅绒运动大毛领韩版加厚羽绒服B70142018,1699,1571,评价: 553,553.00 
波司登冬时尚休闲连帽女士中长款保暖简约羽绒服反季清仓B1601260,799,1278,评价: 551,551.00 
波司登2017新款帽子短款时尚休闲外套保暖户外羽绒服男B70141025,799,2617,评价: 547,547.00 
波司登修身通勤黑色大毛条女短款加厚羽绒服反季B1501202,549,1722,评价: 544,544.00 
BSD波司登羽绒服防寒 女时尚修身大毛领中老年B1301188,279,2099,评价: 534,534.00 
BSD波司登欧美男士时尚简约修身保暖中长款羽绒服潮B1301113,398,3887,评价: 533,533.00 
波司登大毛领女韩版女款宽松A版韩版保暖毛领冬季羽绒服B1601130,899,1608,评价: 530,530.00 
波司登羽绒服连帽青年男装简约时尚外套薄款羽绒衣反季B1501019,299,1939,评价: 530,530.00 
BSD波司登2017新款秋羽绒中长款立领时尚轻薄羽绒服女B70131104,499,1998,评价: 529,529.00 
波司登时尚都市气质冬季男士短款连帽百搭羽绒服男装反季B1601145,647,1424,评价: 526,526.00 
BSD波司登2017新款时尚中长款羽绒服冬韩版外套男B70142515,898,2209,评价: 523,523.00 
波司登2017秋季时尚轻薄中长款连帽运动服少女羽绒服女B70132004,629,1970,评价: 521,521.00 
波司登连帽纯色冬季保暖羽绒服女式外套中长款反季清仓B1301162,359,1647,评价: 518,518.00 
BSD波司登冬季男士百搭大毛帽直摆款防寒加厚羽绒服B1501139,688,1282,评价: 516,516.00 
波司登2017新品貉子毛领修身加大码妈妈装中款羽绒服女B70141046B,898,3033,评价: 515,515.00 
波司登连帽百搭女式连帽保暖运动休闲青年街头羽绒服冬B1601182,629,1228,评价: 511,511.00 
BSD波司登防寒外套冬大毛领军工装女中长款羽绒服B1501114,598,1361,评价: 510,510.00 
BSD波司登轻薄女加大加肥短款大码羽绒服外套蓄热B1501020XB,279,1891,评价: 503,503.00 
波司登宽松时尚男保暖时尚中长款貉子毛冬季商务羽绒服B1601175,799,1541,评价: 489,489.00 
BSD波司登冬季保暖短款宽松甜美气质通勤 羽绒服女B1501200,449,1459,评价: 488,488.00 
波司登2017新款轻薄羽绒服女中长款风衣B70132130,799,1639,评价: 485,485.00 
波司登冬保暖中长款收腰修身女狐狸毛纯色时尚女式羽绒服B1601246,989,1419,评价: 479,479.00 
波司登女士毛领中长款修身显瘦羽绒服带毛领B1301288S,289,1334,评价: 475,475.00 
波司登加大妈妈女罗纹领大码背心内穿马甲花色无袖羽绒B1501606B,149,1480,评价: 469,469.00 
